Location,Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1-score,Test F1-score,Train ROC AUC,Test ROC AUC
District 1,RandomForest,0.90607,0.86588,0.90867,0.88474,0.93085,0.88612,0.91962,0.88542,0.96786,0.93335
District 1,XGB,0.86928,0.85949,0.87215,0.87752,0.90644,0.883,0.88896,0.88025,0.93835,0.93051
District 1,LGBM,0.86654,0.8604,0.86534,0.87309,0.91051,0.8908,0.88735,0.88185,0.93837,0.92755
District 3,RandomForest,0.90607,0.86588,0.90867,0.88474,0.93085,0.88612,0.91962,0.88542,0.96786,0.93335
District 3,XGB,0.86928,0.85949,0.87215,0.87752,0.90644,0.883,0.88896,0.88025,0.93835,0.93051
District 3,LGBM,0.86654,0.8604,0.86534,0.87309,0.91051,0.8908,0.88735,0.88185,0.93837,0.92755
District 4,RandomForest,0.90568,0.86953,0.90969,0.88906,0.92881,0.88768,0.91915,0.88837,0.96796,0.93338
District 4,XGB,0.87006,0.8604,0.8728,0.87888,0.90712,0.883,0.88963,0.88093,0.93839,0.93056
District 4,LGBM,0.86654,0.85949,0.86534,0.87289,0.91051,0.88924,0.88735,0.88099,0.93836,0.92724
District 5,RandomForest,0.90411,0.85858,0.91029,0.88785,0.9268,0.87289,0.91847,0.88031,0.96619,0.92468
District 5,XGB,0.86849,0.85858,0.87218,0.88426,0.90732,0.87749,0.8894,0.88086,0.93444,0.92646
District 5,LGBM,0.86849,0.86314,0.87074,0.88397,0.90934,0.88668,0.88962,0.88532,0.93425,0.92593
District 6,RandomForest,0.9045,0.85949,0.91934,0.88717,0.92055,0.87634,0.91995,0.88172,0.96704,0.92486
District 6,XGB,0.86771,0.86314,0.88054,0.88668,0.9002,0.88397,0.89026,0.88532,0.93655,0.92529
District 6,LGBM,0.86458,0.85675,0.87749,0.87957,0.89823,0.88092,0.88774,0.88024,0.93463,0.92334
District 7,RandomForest,0.90841,0.85766,0.9131,0.88768,0.9315,0.87136,0.92221,0.87944,0.96555,0.92391
District 7,XGB,0.86771,0.85675,0.87153,0.88272,0.90665,0.87596,0.88874,0.87932,0.93404,0.92665
District 7,LGBM,0.86575,0.86223,0.87016,0.88735,0.90463,0.88055,0.88706,0.88394,0.9336,0.92494
District 8,RandomForest,0.90685,0.86131,0.92021,0.88633,0.92383,0.88092,0.92202,0.88361,0.96726,0.92427
District 8,XGB,0.86771,0.86314,0.88054,0.88668,0.9002,0.88397,0.89026,0.88532,0.93655,0.92527
District 8,LGBM,0.86536,0.85675,0.87813,0.87957,0.89888,0.88092,0.88838,0.88024,0.93493,0.92323
District 10,RandomForest,0.90254,0.86953,0.91333,0.88924,0.92241,0.88785,0.91785,0.88854,0.96488,0.93382
District 10,XGB,0.86888,0.87956,0.8738,0.88404,0.90915,0.91433,0.89113,0.89893,0.93504,0.93517
District 10,LGBM,0.86849,0.87956,0.87277,0.88636,0.90981,0.91121,0.89091,0.89862,0.93366,0.93262
District 11,RandomForest,0.90646,0.875,0.91607,0.89026,0.92639,0.8972,0.9212,0.89372,0.96614,0.934
District 11,XGB,0.86888,0.87774,0.8738,0.88485,0.90915,0.90966,0.89113,0.89708,0.93459,0.9359
District 11,LGBM,0.86888,0.87226,0.8738,0.88262,0.90915,0.90187,0.89113,0.89214,0.9336,0.933
District 12,RandomForest,0.90646,0.87226,0.90731,0.88262,0.93477,0.90187,0.92083,0.89214,0.96781,0.93438
District 12,XGB,0.87006,0.86861,0.8676,0.87054,0.91661,0.91121,0.89143,0.89041,0.93712,0.93376
District 12,LGBM,0.86575,0.8677,0.86294,0.87034,0.91459,0.90966,0.88802,0.88957,0.93624,0.93111
Binh Tan District,RandomForest,0.90137,0.86953,0.91184,0.89011,0.92154,0.88594,0.91667,0.88802,0.96584,0.93338
Binh Tan District,XGB,0.8681,0.87318,0.87284,0.88128,0.90824,0.90469,0.89019,0.89283,0.93481,0.9311
Binh Tan District,LGBM,0.86888,0.87409,0.8754,0.88146,0.90625,0.90625,0.89056,0.89368,0.93382,0.92859
Binh Thanh District,RandomForest,0.90528,0.8677,0.90909,0.88629,0.92881,0.88768,0.91885,0.88698,0.96789,0.93331
Binh Thanh District,XGB,0.86967,0.8604,0.87223,0.87888,0.90712,0.883,0.88933,0.88093,0.93833,0.93054
Binh Thanh District,LGBM,0.86732,0.85949,0.86598,0.87289,0.91119,0.88924,0.88801,0.88099,0.9385,0.92758
Go Vap District,RandomForest,0.90333,0.86953,0.90789,0.87632,0.92804,0.90498,0.91786,0.89042,0.96769,0.93408
Go Vap District,XGB,0.86732,0.8677,0.86654,0.86924,0.91258,0.91121,0.88896,0.88973,0.9366,0.93318
Go Vap District,LGBM,0.86458,0.86679,0.86547,0.87015,0.90854,0.9081,0.88648,0.88872,0.93547,0.93113
Phu Nhuan District,RandomForest,0.90528,0.86861,0.90909,0.88889,0.92881,0.88612,0.91885,0.8875,0.96795,0.93383
Phu Nhuan District,XGB,0.86967,0.8604,0.87223,0.87888,0.90712,0.883,0.88933,0.88093,0.93833,0.93057
Phu Nhuan District,LGBM,0.86693,0.85949,0.86589,0.87289,0.91051,0.88924,0.88764,0.88099,0.93837,0.92749
Tan Binh District,RandomForest,0.90059,0.8677,0.91088,0.88527,0.92175,0.88941,0.91628,0.88733,0.96498,0.93396
Tan Binh District,XGB,0.86888,0.87956,0.8738,0.88404,0.90915,0.91433,0.89113,0.89893,0.93488,0.93541
Tan Binh District,LGBM,0.8681,0.87956,0.87175,0.8852,0.91048,0.91277,0.89069,0.89877,0.93368,0.93236
Tan Phu District,RandomForest,0.90646,0.875,0.91607,0.89026,0.92639,0.8972,0.9212,0.89372,0.96613,0.93389
Tan Phu District,XGB,0.86888,0.87774,0.8738,0.88485,0.90915,0.90966,0.89113,0.89708,0.93459,0.93588
Tan Phu District,LGBM,0.86888,0.87591,0.87285,0.8845,0.91048,0.90654,0.89127,0.89538,0.93365,0.93306
Thu Duc City,RandomForest,0.90607,0.87135,0.91082,0.8855,0.93034,0.89783,0.92048,0.89162,0.96729,0.93201
Thu Duc City,XGB,0.86928,0.8677,0.87315,0.87556,0.90824,0.90402,0.89035,0.88957,0.93655,0.93131
Thu Duc City,LGBM,0.86928,0.86405,0.87219,0.87481,0.90958,0.89783,0.89049,0.88617,0.93521,0.93214
Binh Chanh District,RandomForest,0.90998,0.85766,0.92181,0.88419,0.92668,0.87326,0.92424,0.87869,0.96934,0.92547
Binh Chanh District,XGB,0.87162,0.86588,0.87723,0.88226,0.91083,0.89181,0.89371,0.88701,0.9387,0.92689
Binh Chanh District,LGBM,0.87123,0.86131,0.88005,0.87786,0.90621,0.88872,0.89294,0.88326,0.93828,0.92684
Cu Chi District,RandomForest,0.91076,0.86588,0.9133,0.87461,0.9365,0.8954,0.92475,0.88489,0.96942,0.92211
Cu Chi District,XGB,0.87319,0.86588,0.87136,0.86556,0.91912,0.90808,0.8946,0.88631,0.93842,0.92328
Cu Chi District,LGBM,0.87006,0.86405,0.8707,0.86295,0.91377,0.90808,0.89172,0.88494,0.93699,0.92063
Can Gio District,RandomForest,0.90098,0.86496,0.91463,0.88633,0.91766,0.88633,0.91614,0.88633,0.96402,0.93626
Can Gio District,XGB,0.86419,0.85493,0.87029,0.86499,0.90438,0.89555,0.88701,0.88,0.93113,0.93423
Can Gio District,LGBM,0.86184,0.85219,0.87314,0.86989,0.89575,0.88326,0.8843,0.87652,0.92991,0.93224
Hoc Mon District,RandomForest,0.90646,0.87682,0.91226,0.87957,0.9321,0.91153,0.92207,0.89527,0.96469,0.93233
Hoc Mon District,XGB,0.86928,0.8677,0.869,0.8631,0.91826,0.91627,0.89295,0.88889,0.93336,0.92976
Hoc Mon District,LGBM,0.86654,0.87135,0.86704,0.86391,0.91562,0.92259,0.89067,0.89228,0.93331,0.92889
Nha Be District,RandomForest,0.91194,0.85858,0.91737,0.88235,0.93501,0.87827,0.92611,0.88031,0.97033,0.9273
Nha Be District,XGB,0.87162,0.86223,0.87772,0.87842,0.90915,0.8906,0.89316,0.88447,0.93879,0.92907
Nha Be District,LGBM,0.86967,0.86588,0.8754,0.88262,0.90849,0.89214,0.89164,0.88736,0.93839,0.92623
